Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M12_1C_Squca
1.5	3	1	2	AAB	After	M12_1C_Squca
2	2	1	1	AB	After	M12_1C_Squca
2.5	2	1	1	AB	After	M12_1C_Squca
3	2	1	1	AB	After	M12_1C_Squca
3.5	4	1	3	Other	Unknown	M12_1C_Squca
4	2	1	1	AB	After	M12_1C_Squca
4.5	2	1	1	AB	After	M12_1C_Squca
5	4	2	2	Other	Unknown	M12_1C_Squca
5.5	2	1	1	AB	After	M12_1C_Squca
6	3	1	2	AAB	After	M12_1C_Squca
6.5	3	1	2	AAB	After	M12_1C_Squca
7	3	1	2	AAB	After	M12_1C_Squca
7.5	2	1	1	AB	After	M12_1C_Squca
8	3	1	2	AAB	After	M12_1C_Squca
8.5	4	2	2	Other	Unknown	M12_1C_Squca
9	4	1	3	Other	Unknown	M12_1C_Squca
9.5	4	1	3	Other	Unknown	M12_1C_Squca
10	3	1	2	AAB	After	M12_1C_Squca
10.5	2	1	1	AB	After	M12_1C_Squca
11	2	1	1	AB	After	M12_1C_Squca
11.5	2	1	1	AB	After	M12_1C_Squca
12	3	1	2	AAB	After	M12_1C_Squca
12.5	3	1	2	AAB	After	M12_1C_Squca
13.5	3	1	2	AAB	After	M12_1C_Squca
14.5	2	1	1	AB	After	M12_1C_Squca
15.5	3	1	2	AAB	After	M12_1C_Squca
16	2	1	1	AB	After	M12_1C_Squca
16.5	2	1	1	AB	After	M12_1C_Squca
17	3	1	2	AAB	After	M12_1C_Squca
17.5	3	1	2	AAB	After	M12_1C_Squca
18	2	1	1	AB	After	M12_1C_Squca
18.5	3	1	2	AAB	After	M12_1C_Squca
19	4	1	3	Other	Unknown	M12_1C_Squca
19.5	3	1	2	AAB	After	M12_1C_Squca
20	4	2	2	Other	Unknown	M12_1C_Squca
20.5	4	2	2	Other	Unknown	M12_1C_Squca
21.5	4	2	2	Other	Unknown	M12_1C_Squca
22.5	3	1	2	AAB	After	M12_1C_Squca
