Chrom	CNt	Minor	Major	genotype	time	sample
1	2	1	1	AB	After	M14_1F_Aca
1.5	3	1	2	AAB	After	M14_1F_Aca
2	2	0	2	AA	Before	M14_1F_Aca
2.5	3	0	3	AAA	Before	M14_1F_Aca
3	2	0	2	AA	Before	M14_1F_Aca
3.5	3	1	2	AAB	After	M14_1F_Aca
4	2	0	2	AA	Before	M14_1F_Aca
4.5	2	0	2	AA	Before	M14_1F_Aca
5	2	0	2	AA	Before	M14_1F_Aca
5.5	1	0	1	Other	Unknown	M14_1F_Aca
6	3	0	3	AAA	Before	M14_1F_Aca
6.5	2	0	2	AA	Before	M14_1F_Aca
7	3	1	2	AAB	After	M14_1F_Aca
7.5	2	1	1	AB	After	M14_1F_Aca
8	1	0	1	Other	Unknown	M14_1F_Aca
8.5	3	1	2	AAB	After	M14_1F_Aca
9	1	0	1	Other	Unknown	M14_1F_Aca
9.5	2	0	2	AA	Before	M14_1F_Aca
10	2	1	1	AB	After	M14_1F_Aca
10.5	2	1	1	AB	After	M14_1F_Aca
11	2	0	2	AA	Before	M14_1F_Aca
11.5	2	0	2	AA	Before	M14_1F_Aca
12	2	1	1	AB	After	M14_1F_Aca
12.5	2	1	1	AB	After	M14_1F_Aca
13.5	2	1	1	AB	After	M14_1F_Aca
14.5	2	0	2	AA	Before	M14_1F_Aca
15.5	2	0	2	AA	Before	M14_1F_Aca
16	3	1	2	AAB	After	M14_1F_Aca
16.5	2	1	1	AB	After	M14_1F_Aca
17	2	0	2	AA	Before	M14_1F_Aca
17.5	3	0	3	AAA	Before	M14_1F_Aca
18	3	1	2	AAB	After	M14_1F_Aca
18.5	1	0	1	Other	Unknown	M14_1F_Aca
19	1	0	1	Other	Unknown	M14_1F_Aca
19.5	3	0	3	AAA	Before	M14_1F_Aca
20	4	1	3	Other	Unknown	M14_1F_Aca
20.5	3	1	2	AAB	After	M14_1F_Aca
21.5	2	0	2	AA	Before	M14_1F_Aca
22.5	2	0	2	AA	Before	M14_1F_Aca
