Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M15_1F_Nec
1.5	3	0	3	AAA	Before	M15_1F_Nec
2	3	1	2	AAB	After	M15_1F_Nec
2.5	3	1	2	AAB	After	M15_1F_Nec
3	3	1	2	AAB	After	M15_1F_Nec
3.5	3	1	2	AAB	After	M15_1F_Nec
4	2	1	1	AB	After	M15_1F_Nec
4.5	2	1	1	AB	After	M15_1F_Nec
5	4	2	2	Other	Unknown	M15_1F_Nec
5.5	3	0	3	AAA	Before	M15_1F_Nec
6	4	0	4	Other	Unknown	M15_1F_Nec
6.5	4	1	3	Other	Unknown	M15_1F_Nec
7	3	1	2	AAB	After	M15_1F_Nec
7.5	3	1	2	AAB	After	M15_1F_Nec
8	1	0	1	Other	Unknown	M15_1F_Nec
8.5	3	1	2	AAB	After	M15_1F_Nec
9	3	1	2	AAB	After	M15_1F_Nec
9.5	2	1	1	AB	After	M15_1F_Nec
10	3	1	2	AAB	After	M15_1F_Nec
10.5	2	0	2	AA	Before	M15_1F_Nec
11	4	2	2	Other	Unknown	M15_1F_Nec
11.5	3	1	2	AAB	After	M15_1F_Nec
12	2	1	1	AB	After	M15_1F_Nec
12.5	3	1	2	AAB	After	M15_1F_Nec
13.5	4	2	2	Other	Unknown	M15_1F_Nec
14.5	2	1	1	AB	After	M15_1F_Nec
15.5	4	1	3	Other	Unknown	M15_1F_Nec
16	2	1	1	AB	After	M15_1F_Nec
16.5	2	0	2	AA	Before	M15_1F_Nec
17	2	0	2	AA	Before	M15_1F_Nec
17.5	3	1	2	AAB	After	M15_1F_Nec
18	4	2	2	Other	Unknown	M15_1F_Nec
18.5	2	0	2	AA	Before	M15_1F_Nec
19	2	0	2	AA	Before	M15_1F_Nec
19.5	2	0	2	AA	Before	M15_1F_Nec
20	3	1	2	AAB	After	M15_1F_Nec
20.5	4	2	2	Other	Unknown	M15_1F_Nec
21.5	3	1	2	AAB	After	M15_1F_Nec
22.5	2	1	1	AB	After	M15_1F_Nec
