Chrom	CNt	Minor	Major	genotype	time	sample
1	3	1	2	AAB	After	M26_1I_Aca
1.5	5	1	4	Other	Unknown	M26_1I_Aca
2	4	0	4	Other	Unknown	M26_1I_Aca
2.5	3	0	3	AAA	Before	M26_1I_Aca
3	3	0	3	AAA	Before	M26_1I_Aca
3.5	3	0	3	AAA	Before	M26_1I_Aca
4	3	1	2	AAB	After	M26_1I_Aca
4.5	3	1	2	AAB	After	M26_1I_Aca
5	5	0	5	Other	Unknown	M26_1I_Aca
5.5	2	1	1	AB	After	M26_1I_Aca
6	4	2	2	Other	Unknown	M26_1I_Aca
6.5	4	1	3	Other	Unknown	M26_1I_Aca
7	4	1	3	Other	Unknown	M26_1I_Aca
7.5	3	1	2	AAB	After	M26_1I_Aca
8	3	0	3	AAA	Before	M26_1I_Aca
8.5	3	0	3	AAA	Before	M26_1I_Aca
9	3	0	3	AAA	Before	M26_1I_Aca
9.5	3	0	3	AAA	Before	M26_1I_Aca
10	4	2	2	Other	Unknown	M26_1I_Aca
10.5	3	1	2	AAB	After	M26_1I_Aca
11	2	1	1	AB	After	M26_1I_Aca
11.5	3	0	3	AAA	Before	M26_1I_Aca
12	4	1	3	Other	Unknown	M26_1I_Aca
12.5	3	1	2	AAB	After	M26_1I_Aca
13.5	6	3	3	Other	Unknown	M26_1I_Aca
14.5	3	0	3	AAA	Before	M26_1I_Aca
15.5	3	1	2	AAB	After	M26_1I_Aca
16	3	1	2	AAB	After	M26_1I_Aca
16.5	2	1	1	AB	After	M26_1I_Aca
17	3	0	3	AAA	Before	M26_1I_Aca
17.5	4	1	3	Other	Unknown	M26_1I_Aca
18	4	1	3	Other	Unknown	M26_1I_Aca
18.5	3	1	2	AAB	After	M26_1I_Aca
19	2	0	2	AA	Before	M26_1I_Aca
19.5	5	0	5	Other	Unknown	M26_1I_Aca
20	4	2	2	Other	Unknown	M26_1I_Aca
20.5	6	2	4	Other	Unknown	M26_1I_Aca
21.5	2	0	2	AA	Before	M26_1I_Aca
22.5	3	1	2	AAB	After	M26_1I_Aca
