Chrom	CNt	Minor	Major	genotype	time	sample
1	3	0	3	AAA	Before	M32_1Q_Nec
1.5	4	0	4	Other	Unknown	M32_1Q_Nec
2	3	1	2	AAB	After	M32_1Q_Nec
2.5	4	0	4	Other	Unknown	M32_1Q_Nec
3	3	1	2	AAB	After	M32_1Q_Nec
3.5	4	1	3	Other	Unknown	M32_1Q_Nec
4	3	1	2	AAB	After	M32_1Q_Nec
4.5	3	1	2	AAB	After	M32_1Q_Nec
5	5	2	3	Other	Unknown	M32_1Q_Nec
5.5	2	0	2	AA	Before	M32_1Q_Nec
6	4	0	4	Other	Unknown	M32_1Q_Nec
6.5	3	0	3	AAA	Before	M32_1Q_Nec
7	4	2	2	Other	Unknown	M32_1Q_Nec
7.5	4	2	2	Other	Unknown	M32_1Q_Nec
8	3	1	2	AAB	After	M32_1Q_Nec
8.5	5	1	4	Other	Unknown	M32_1Q_Nec
9	1	0	1	Other	Unknown	M32_1Q_Nec
9.5	2	1	1	AB	After	M32_1Q_Nec
10	3	1	2	AAB	After	M32_1Q_Nec
10.5	2	0	2	AA	Before	M32_1Q_Nec
11	2	1	1	AB	After	M32_1Q_Nec
11.5	2	0	2	AA	Before	M32_1Q_Nec
12	2	0	2	AA	Before	M32_1Q_Nec
12.5	3	1	2	AAB	After	M32_1Q_Nec
13.5	2	0	2	AA	Before	M32_1Q_Nec
14.5	4	0	4	Other	Unknown	M32_1Q_Nec
15.5	2	1	1	AB	After	M32_1Q_Nec
16	3	0	3	AAA	Before	M32_1Q_Nec
16.5	3	1	2	AAB	After	M32_1Q_Nec
17	4	0	4	Other	Unknown	M32_1Q_Nec
17.5	3	0	3	AAA	Before	M32_1Q_Nec
18	3	0	3	AAA	Before	M32_1Q_Nec
18.5	3	0	3	AAA	Before	M32_1Q_Nec
19	3	0	3	AAA	Before	M32_1Q_Nec
19.5	4	0	4	Other	Unknown	M32_1Q_Nec
20	8	3	5	Other	Unknown	M32_1Q_Nec
20.5	6	3	3	Other	Unknown	M32_1Q_Nec
21.5	2	0	2	AA	Before	M32_1Q_Nec
22.5	4	2	2	Other	Unknown	M32_1Q_Nec
