,sample,vaf_based,purity.median,titan,ploidy,sequenza,ploidy.estimate,ploidy.mean.cn,gain,loss,normal,percent,Site,cluster,titan.adj,sequenza.manual,Source.seq,CCF.manual,Source,new_sample,QC,sample_simple,new_simple
1,499556-1D-Aca,0.260574152,0.25,0.4111,2.128,0.25,3.4,5.096905237,2608206653,100132,32745634,0.9876,Aca,High,0.4111,0.19,seq,0.4111,titan,M01_1D_Aca,PASS,499556,M01
2,499556-1D-Nec,0.376058283,0.375,0.5447,1.947,0.39,2.5,5.723816841,2616871927,26450674,0,1,Nec,High,0.5447,0.39,seq,0.5447,titan,M01_1D_Nec,PASS,499556,M01
3,520427-8D-Aca,0.164211294,0.16,0.4436,2.069,0.32,3.4,4.653275333,2532906825,22753,124239436,0.9532,Aca,High,0.4436,0.32,seq,0.4436,titan,M02_8D_Aca,PASS,520427,M02
4,520427-8D-Nec,0.320366977,0.310344828,0.5531,2.513,0.64,2.9,2.799116499,1560170551,19683673,1074924090,0.5951,Nec,High,0.5531,0.64,seq,0.64,sequenza,M02_8D_Nec,PASS,520427,M02
5,532625-1A-Aca,0.215035403,0.2,0.2665,2.263,0.28,1.7,2.311813589,607263085,91802408,1941578666,0.2647,Aca,High,0.2665,0.28,seq,0.2665,titan,M03_1A_Aca,PASS,532625,M03
6,532625-1A-Nec,0.463449955,0.445864395,0.3163,2.137,0.29,2,2.40653997,864204991,102618280,1680691333,0.3652,Nec,High,0.3163,0.29,seq,0.3163,titan,M03_1A_Nec,FAIL,532625,M03
7,532625-1B-Aca,0.516602521,0.504504505,0.5524,2.382,0.56,2.2,2.35891452,1088028144,114092548,1452398866,0.4529,Aca,High,0.5524,0.56,seq,0.5524,titan,M03_1B_Aca,PASS,532625,M03
8,532625-1B-Nec,0.407036524,0.380952381,0.6164,1.949,0.63,1.7,4.531599607,2561918566,9320,99418081,0.9626,Nec,High,0.6164,0.63,seq,0.6164,titan,M03_1B_Nec,FAIL,532625,M03
9,532625-1C-Aca,0.456135143,0.456140351,0.4916,2.227,0.48,2,2.177801233,614273989,159295187,1876447164,0.2919,Aca,High,0.4916,0.48,seq,0.4916,titan,M03_1C_Aca,PASS,532625,M03
10,532625-1C-Nec,0.200198616,0.197811545,0.2443,2.044,0.24,1.8,2.234371023,678428587,244032571,1708740371,0.3506,Nec,High,0.2443,0.24,seq,0.2443,titan,M03_1C_Nec,PASS,532625,M03
