Chrom	CNt	Minor	Major	genotype	time	sample
1	2	1	1	AB	After	M29_1P_Nec
1.5	2	1	1	AB	After	M29_1P_Nec
2	2	1	1	AB	After	M29_1P_Nec
2.5	2	1	1	AB	After	M29_1P_Nec
3	2	1	1	AB	After	M29_1P_Nec
3.5	2	1	1	AB	After	M29_1P_Nec
4	2	1	1	AB	After	M29_1P_Nec
4.5	2	1	1	AB	After	M29_1P_Nec
5	2	1	1	AB	After	M29_1P_Nec
5.5	2	1	1	AB	After	M29_1P_Nec
6	2	1	1	AB	After	M29_1P_Nec
6.5	2	1	1	AB	After	M29_1P_Nec
7	2	1	1	AB	After	M29_1P_Nec
7.5	2	1	1	AB	After	M29_1P_Nec
8	2	1	1	AB	After	M29_1P_Nec
8.5	2	1	1	AB	After	M29_1P_Nec
9	2	1	1	AB	After	M29_1P_Nec
9.5	2	1	1	AB	After	M29_1P_Nec
10	2	1	1	AB	After	M29_1P_Nec
10.5	2	1	1	AB	After	M29_1P_Nec
11	2	1	1	AB	After	M29_1P_Nec
11.5	2	1	1	AB	After	M29_1P_Nec
12	2	1	1	AB	After	M29_1P_Nec
12.5	2	1	1	AB	After	M29_1P_Nec
13.5	2	1	1	AB	After	M29_1P_Nec
14.5	2	1	1	AB	After	M29_1P_Nec
15.5	2	1	1	AB	After	M29_1P_Nec
16	2	1	1	AB	After	M29_1P_Nec
16.5	2	1	1	AB	After	M29_1P_Nec
17	2	1	1	AB	After	M29_1P_Nec
17.5	2	1	1	AB	After	M29_1P_Nec
18	2	1	1	AB	After	M29_1P_Nec
18.5	2	1	1	AB	After	M29_1P_Nec
19	2	1	1	AB	After	M29_1P_Nec
19.5	2	1	1	AB	After	M29_1P_Nec
20	2	1	1	AB	After	M29_1P_Nec
20.5	2	1	1	AB	After	M29_1P_Nec
21.5	2	1	1	AB	After	M29_1P_Nec
22.5	2	1	1	AB	After	M29_1P_Nec
